City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
240,Marienburg,PL,54.0359,19.0266,37.99,69,69,5.99,broken clouds
241,Chapais,CA,49.7834,-74.8492,50.0,25,1,18.41,clear sky
242,Ust-Nera,RU,64.5667,143.2,6.82,96,99,2.93,overcast clouds
243,Aklavik,CA,68.2191,-135.0107,33.8,51,75,4.61,broken clouds
244,Terrace,CA,54.5163,-128.6035,59.0,26,20,8.05,few clouds
245,Mount Isa,AU,-20.7333,139.5,66.2,27,24,14.97,few clouds
246,Holme,DK,56.1138,10.1725,42.8,70,14,9.22,few clouds
247,Floresti,MD,47.8933,28.3014,42.66,75,78,6.02,broken clouds
248,Ambilobe,MG,-13.2,49.05,73.38,82,93,4.12,overcast clouds
249,Prince Rupert,CA,54.3161,-130.3201,53.6,58,1,6.91,clear sky
250,Mao,ES,39.8885,4.2658,55.4,88,0,5.75,clear sky
251,Pangnirtung,CA,66.1451,-65.7125,26.6,86,75,2.3,broken clouds
252,Vanimo,PG,-2.6741,141.3028,77.31,88,100,4.21,moderate rain
253,Hasaki,JP,35.7333,140.8333,46.4,87,20,3.44,few clouds
254,Monrovia,LR,6.3005,-10.7969,80.6,94,75,6.85,broken clouds
255,Mezen,RU,65.8522,44.24,42.51,75,100,11.45,light rain
256,Longyearbyen,SJ,78.2186,15.6401,14.0,67,40,10.36,scattered clouds
257,Oktyabrskoye,RU,43.0645,44.7417,48.2,81,18,8.95,few clouds
258,Ketchikan,US,55.3422,-131.6461,53.6,43,1,10.36,clear sky
259,Boyolangu,ID,-8.1181,111.8935,72.54,88,5,0.38,clear sky
260,Esperance,AU,-33.8667,121.9,55.4,94,95,11.5,light rain
261,Ixtapa,MX,20.7,-105.2,84.2,61,1,11.5,clear sky
262,Hambantota,LK,6.1241,81.1185,79.99,81,78,8.08,broken clouds
263,Ojinaga,MX,29.5667,-104.4167,84.2,6,1,12.66,clear sky
264,Tabou,CI,4.423,-7.3528,81.48,82,98,8.7,overcast clouds
265,Kavaratti,IN,10.5669,72.642,83.44,73,14,8.16,few clouds
266,Marzuq,YE,14.4,46.4667,70.3,58,12,5.73,few clouds
267,Margate,GB,51.3813,1.3862,48.99,71,48,1.99,scattered clouds
268,Richards Bay,ZA,-28.783,32.0377,63.82,84,76,9.73,broken clouds
269,Gravdal,NO,68.1214,13.5031,33.8,75,40,13.8,scattered clouds
270,Beringovskiy,RU,63.05,179.3167,25.57,82,99,7.47,overcast clouds
271,Masuda,JP,34.6667,131.85,59.0,63,75,2.06,broken clouds
272,La Candelaria,VE,9.6855,-63.4038,91.4,37,72,13.49,broken clouds
273,Henties Bay,NA,-22.116,14.2845,63.0,86,6,5.91,clear sky
274,San Patricio,US,28.017,-97.5169,84.2,74,75,21.85,broken clouds
275,Mountrath,IE,52.9989,-7.4728,48.99,70,100,4.0,overcast clouds
276,Aqtobe,KZ,50.2797,57.2072,48.2,76,90,15.66,overcast clouds
277,Mundo Nuevo,MX,18.7,-95.5,84.43,73,83,15.17,broken clouds
278,Algiers,DZ,36.7525,3.042,57.2,82,40,6.91,scattered clouds
279,Fairbanks,US,64.8378,-147.7164,53.6,32,1,9.22,clear sky
280,Te Anau,NZ,-45.4167,167.7167,45.64,87,64,2.62,light rain
281,Betare Oya,CM,5.6,14.0833,69.87,86,100,3.56,overcast clouds
282,Iquique,CL,-20.2208,-70.1431,69.8,56,0,14.97,clear sky
283,Taldom,RU,56.7333,37.5333,38.32,96,100,1.63,light rain
284,Anzio,IT,41.4853,12.6179,57.99,82,97,0.72,overcast clouds
285,Billings,US,45.7833,-108.5007,36.0,75,90,6.91,light snow
