City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
133,Ibra,OM,2021-04-21 18:10:31,22.6906,58.5334,80.92,33,0,3.8
134,Teahupoo,PF,2021-04-21 18:10:31,-17.8333,-149.2667,78.8,78,40,3.44
135,Atuona,PF,2021-04-21 18:09:18,-9.8,-139.0333,81.09,68,32,22.24
136,Mayo,US,2021-04-21 18:10:32,38.8876,-76.5119,54.0,62,90,12.66
137,Husavik,IS,2021-04-21 18:10:32,66.0449,-17.3389,46.4,53,20,10.36
138,Kuah,MY,2021-04-21 18:09:04,6.3265,99.8432,82.4,89,20,3.44
139,Piacabucu,BR,2021-04-21 18:10:33,-10.4056,-36.4344,82.35,76,62,11.21
140,Hoogeveen,NL,2021-04-21 18:10:08,52.6833,6.5833,45.0,64,43,4.0
141,Mangaldai,IN,2021-04-21 18:10:33,26.4333,92.0333,75.2,78,75,2.3
142,Puerto Ayora,EC,2021-04-21 18:10:34,-0.7393,-90.3518,80.6,83,75,11.5
143,Katesh,TZ,2021-04-21 18:10:14,-4.5167,35.3833,60.53,78,93,4.07
144,Thompson,CA,2021-04-21 18:10:00,55.7435,-97.8558,44.6,39,1,10.36
145,Sulangan,PH,2021-04-21 18:10:34,11.1373,123.7228,82.24,74,100,11.97
146,Sumbawanga,TZ,2021-04-21 18:10:35,-7.9667,31.6167,64.4,77,20,3.44
147,Sao Felix Do Xingu,BR,2021-04-21 18:08:50,-6.6447,-51.995,78.53,80,98,3.76
148,Nemuro,JP,2021-04-21 18:10:35,43.3236,145.575,33.82,83,60,26.73
149,Qaanaaq,GL,2021-04-21 18:10:36,77.484,-69.3632,13.55,71,100,9.08
150,Poum,NC,2021-04-21 18:10:36,-20.2333,164.0167,77.4,81,22,7.92
151,Yellowknife,CA,2021-04-21 18:09:54,62.456,-114.3525,24.01,68,90,20.71
152,Fukue,JP,2021-04-21 18:10:37,32.6881,128.8419,64.65,57,65,2.51
153,Cayenne,GF,2021-04-21 18:09:02,4.9333,-52.3333,84.2,79,75,13.8
154,Nara,JP,2021-04-21 18:10:38,34.6851,135.8049,55.99,30,59,0.65
155,Kavieng,PG,2021-04-21 18:09:17,-2.5744,150.7967,79.65,81,99,3.09
156,Gambela,ET,2021-04-21 18:10:39,8.25,34.5833,80.26,64,100,0.96
