City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
467,Awbari,LY,84.94,clear sky,26.5921,12.7805,فندق أوباري
472,Manggar,ID,80.73,few clouds,-2.8833,108.2667,Guest Hotel
473,Daman,IN,81.97,overcast clouds,20.4167,72.85,Silver Sands Beach Resort
482,Conde,BR,80.6,scattered clouds,-7.2597,-34.9075,Pousada Beija Flor
485,Quatre Cocos,MU,78.8,light rain,-20.2078,57.7625,Veranda Palmar Beach Hotel
489,Mayumba,GA,78.53,overcast clouds,-3.432,10.6554,LIKWALE LODGE
490,Balsas,BR,78.19,broken clouds,-7.5325,-46.0356,Novo Hotel
492,Pangkalanbuun,ID,73.67,broken clouds,-2.6833,111.6167,Grand Kecubung Hotel
503,Luanda,AO,77.0,broken clouds,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
504,Bhuj,IN,78.76,broken clouds,23.2667,69.6667,Regenta Resort Bhuj
508,Turiacu,BR,76.89,light rain,-1.6633,-45.3717,Pousada Maranata
509,Kimbe,PG,76.28,overcast clouds,-5.5502,150.1429,Kimbe Bay Hotel
510,Buta,CD,70.61,overcast clouds,2.7858,24.73,HOTEL BISO NA BISO
518,Diamantino,BR,82.33,scattered clouds,-14.4086,-56.4461,Hotel Delta
519,Kilindoni,TZ,80.94,scattered clouds,-7.9139,39.6668,Bustani B&B
520,Arona,ES,71.6,scattered clouds,28.0996,-16.681,Paradise Court
522,Lahij,YE,77.58,clear sky,13.1667,44.5833,
525,Kanakapura,IN,71.96,overcast clouds,12.55,77.4167,Yogi Home Stay
529,Tiarei,PF,84.2,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
532,Sechura,PE,79.7,clear sky,-5.5569,-80.8222,Hospedaje Costa Bella
533,Alofi,NU,80.6,scattered clouds,-19.0595,-169.9187,Taloa Heights
535,Santa,PH,72.39,clear sky,17.486,120.4348,Monte Leah Beach Resort
542,Pizarro,CO,82.94,broken clouds,4.9533,-77.366,Hotel Limonar
545,Muisne,EC,80.6,broken clouds,0.6,-80.0333,Quinta Samay
546,Bintulu,MY,77.0,scattered clouds,3.1667,113.0333,900 Boutique INN
548,Caborca,MX,80.01,clear sky,30.5838,-111.101,Hotel Los Lagos
552,Portao,BR,78.8,clear sky,-29.7017,-51.2419,Motel 20 Ver
555,Bathsheba,BB,84.2,scattered clouds,13.2167,-59.5167,Atlantis Hotel
558,Presidencia Roque Saenz Pena,AR,70.68,overcast clouds,-26.7852,-60.4388,Hotel Gualok
559,Queimadas,BR,76.21,overcast clouds,-10.9783,-39.6264,Hotel Mandala
566,San Vicente,AR,70.21,overcast clouds,-26.6167,-54.1333,Complejo Turístico Farelluk
567,Namibe,AO,78.69,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
571,Pilar,BR,78.8,clear sky,-9.5972,-35.9567,Pousada e churrascaria Manguaba
573,Kieta,PG,78.91,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
574,Tahta,EG,84.2,clear sky,26.7693,31.5021,El Salam Hotel
581,Mattru,SL,77.2,overcast clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
583,Labuhan,ID,75.58,few clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
586,Kulhudhuffushi,MV,83.12,clear sky,6.6221,73.07,Haajy Guest House 1
587,Axim,GH,82.71,overcast clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
591,Maumere,ID,79.32,scattered clouds,-8.6199,122.2111,Sylvia Hotel
594,Aurad,IN,83.73,broken clouds,18.25,77.4333,Bishmilla Birayani Hotel Aurad C
597,Quang Ngai,VN,75.0,overcast clouds,15.1167,108.8,Central Hotel
603,Banda Aceh,ID,79.99,overcast clouds,5.5577,95.3222,Sulthan Hotel International
609,Kavieng,PG,79.48,moderate rain,-2.5744,150.7967,Nusa Island Retreat
612,Angoram,PG,74.32,light rain,-4.0625,144.0661,
616,Paso De Los Toros,UY,78.8,clear sky,-32.8167,-56.5167,Complejo Isabelino
621,Callaway,US,73.0,scattered clouds,30.153,-85.5699,Holiday Inn Express & Suites Panama City-Tyndall
627,Rawah,IQ,76.33,overcast clouds,34.4816,41.9093,
628,Tonantins,BR,81.54,overcast clouds,-2.8731,-67.8022,Hotel Rei Davi
629,Mae Ramat,TH,75.9,broken clouds,16.984,98.5166,บ้านโฮ่งโฮมสเตย์ แม่ระมาด ตาก
638,Conakry,GN,82.4,broken clouds,9.538,-13.6773,Riviera Royal Hotel
642,Teguise,ES,71.6,few clouds,29.0605,-13.564,B&B La Casona de Nazaret
